"ID";"Longitude";"Latitude";"Climate";"MAP";"MAT";"pH";"SOC";"NO3--N";"NH4+-N";"MBC";"DR";"MOA";"nirK gene abundance";"nirS gene abundance";"pmoA gene abundance";"NMDS1";"NMDS2"
51;112,85;29,51;"Subtropical";1.443,45;17,15;7,29;1,88;0,46;27,91;266,14;8,06;13,15;2.590.000,00;50.400.000,00;75.800.000,00;-0,47;0,46
52;112,85;29,51;"Subtropical";1.443,45;17,15;7,34;1,70;0,38;25,12;989,73;12,94;5,60;1.550.000,00;50.000.000,00;65.200.000,00;-0,46;0,35
53;118,55;33,11;"Subtropical";972,00;15,30;7,30;1,06;0,00;25,91;238,17;4,14;8,11;970.000,00;10.800.000,00;18.900.000,00;-0,39;0,33
54;118,55;33,11;"Subtropical";972,00;15,30;7,28;1,28;0,11;25,30;662,52;23,35;6,30;1.160.000,00;24.000.000,00;50.500.000,00;-0,31;0,41
55;118,55;33,11;"Subtropical";972,00;15,30;7,28;1,46;0,10;26,24;590,35;123,76;3,59;689.000,00;12.200.000,00;32.500.000,00;-0,21;0,84
56;120,84;31,63;"Subtropical";1.571,80;17,60;6,82;1,92;1,13;26,45;280,67;7,22;1,83;644.000,00;5.680.000,00;26.300.000,00;0,31;0,21
57;120,84;31,63;"Subtropical";1.571,80;17,60;6,63;1,95;0,11;25,87;247,64;164,48;0,82;920.000,00;4.920.000,00;8.170.000,00;0,54;0,44
58;120,84;31,63;"Subtropical";1.571,80;17,60;6,76;1,99;0,25;26,44;533,87;57,52;24,95;1.090.000,00;11.400.000,00;47.300.000,00;0,38;0,39
59;112,98;29,91;"Subtropical";1.200,00;16,25;6,74;1,43;0,00;21,86;643,81;12,62;5,45;1.240.000,00;50.000.000,00;83.500.000,00;-0,51;-0,30
60;112,99;29,91;"Subtropical";1.200,00;16,25;6,85;1,30;0,00;26,96;1.325,19;5,60;2,68;2.570.000,00;49.200.000,00;68.200.000,00;-0,69;-0,08
61;112,99;29,9;"Subtropical";1.200,00;16,25;6,86;1,43;0,83;19,03;120,09;6,81;6,69;1.240.000,00;17.400.000,00;31.200.000,00;-0,54;-0,78
62;112,98;29,89;"Subtropical";1.200,00;16,25;7,35;1,32;0,25;12,63;101,30;4,38;9,84;1.100.000,00;44.600.000,00;84.700.000,00;-0,82;-0,60
63;112,98;29,9;"Subtropical";1.200,00;16,25;7,46;1,32;1,16;11,28;233,87;4,81;16,71;1.520.000,00;38.700.000,00;78.400.000,00;-1,01;-0,76
64;112,7;30,4;"Subtropical";1.137,50;16,60;7,33;1,31;1,36;26,96;593,37;10,13;1,18;904.000,00;28.700.000,00;71.400.000,00;0,09;-0,66
