"Fig.4A Quantitative distribution of the pmoA, nirS and nirK genes in eighteen fractions from each CsCl gradient on day 40.",,,,,,,,
ID,Soil type,Treatment,Replicate,Fraction,Buoyant density,pmoA gene copies,nirS gene copies,nirK gene copies
245,Yellow soil,12C,2,11,"1,70964 ","1,68E+06","1,23E+06","9,98E+04"
246,Yellow soil,12C,2,12,"1,70516 ","2,86E+06","4,09E+05","7,73E+04"
247,Yellow soil,12C,2,13,"1,70292 ","4,54E+06","1,46E+05","4,85E+04"
248,Yellow soil,12C,2,14,"1,69956 ","5,64E+06","9,26E+04","1,35E+04"
249,Yellow soil,12C,2,15,"1,69732 ","1,98E+06","2,44E+04","4,47E+03"
250,Yellow soil,12C,2,16,"1,69508 ","4,52E+05","1,20E+04","1,75E+03"
251,Yellow soil,12C,2,17,"1,69284 ","6,50E+04","1,18E+04","1,59E+03"
252,Yellow soil,12C,2,18,"1,68948 ","6,66E+04","1,58E+04","2,42E+03"
253,Yellow soil,12C,3,1,"1,73877 ","4,81E+03","4,48E+03","2,42E+02"
254,Yellow soil,12C,3,2,"1,73765 ","1,11E+04","5,52E+03","5,29E+02"
255,Yellow soil,12C,3,3,"1,73653 ","7,29E+03","3,74E+03","5,48E+02"
256,Yellow soil,12C,3,4,"1,73541 ","1,16E+04","2,93E+03","4,99E+02"
257,Yellow soil,12C,3,5,"1,73317 ","1,22E+04","5,03E+03","2,43E+02"
258,Yellow soil,12C,3,6,"1,73093 ","2,49E+04","8,57E+03","3,80E+02"
259,Yellow soil,12C,3,7,"1,72756 ","7,52E+04","2,16E+04","2,56E+02"
260,Yellow soil,12C,3,8,"1,72420 ","1,80E+05","5,04E+04","1,32E+03"
261,Yellow soil,12C,3,9,"1,72196 ","1,14E+06","3,88E+05","5,68E+03"
262,Yellow soil,12C,3,10,"1,71860 ","5,05E+06","1,93E+06","2,66E+04"
263,Yellow soil,12C,3,11,"1,71636 ","5,05E+06","2,89E+06","9,87E+04"
264,Yellow soil,12C,3,12,"1,71188 ","7,03E+06","2,52E+06","1,19E+05"
